count,duration,status
17735,1,casual
43303,1,member
25971,2,casual
102998,2,member
44618,3,casual
155286,3,member
63720,4,casual
182003,4,member
79233,5,casual
188603,5,member
89320,6,casual
183959,6,member
94677,7,casual
171829,7,member
96827,8,casual
157005,8,member
96775,9,casual
143754,9,member
93334,10,casual
130663,10,member
89680,11,casual
118572,11,member
84986,12,casual
106052,12,member
80096,13,casual
94520,13,member
75032,14,casual
85749,14,member
69771,15,casual
76922,15,member
65299,16,casual
69420,16,member
61036,17,casual
62924,17,member
56538,18,casual
57009,18,member
52638,19,casual
51192,19,member
50061,20,casual
47368,20,member
46270,21,casual
42008,21,member
43182,22,casual
38236,22,member
41097,23,casual
35236,23,member
38691,24,casual
32400,24,member
36573,25,casual
29666,25,member
34724,26,casual
27392,26,member
32990,27,casual
24838,27,member
31244,28,casual
22810,28,member
28872,29,casual
20884,29,member
26860,30,casual
19131,30,member
24426,31,casual
17614,31,member
22584,32,casual
16072,32,member
21042,33,casual
15022,33,member
19379,34,casual
13873,34,member
18541,35,casual
12777,35,member
17274,36,casual
11719,36,member
16130,37,casual
10783,37,member
15312,38,casual
10069,38,member
14494,39,casual
9338,39,member
13753,40,casual
8640,40,member
13010,41,casual
7770,41,member
12347,42,casual
7076,42,member
11742,43,casual
6302,43,member
10953,44,casual
5719,44,member
10623,45,casual
4629,45,member
10099,46,casual
3688,46,member
9557,47,casual
3179,47,member
9380,48,casual
2888,48,member
9067,49,casual
2614,49,member
8685,50,casual
2282,50,member
8311,51,casual
2008,51,member
7881,52,casual
1826,52,member
7654,53,casual
1613,53,member
7410,54,casual
1534,54,member
7148,55,casual
1419,55,member
6900,56,casual
1255,56,member
6580,57,casual
1138,57,member
6258,58,casual
1113,58,member
6102,59,casual
987,59,member
6107,60,casual
944,60,member
5666,61,casual
822,61,member
5677,62,casual
818,62,member
5275,63,casual
719,63,member
5549,64,casual
791,64,member
5160,65,casual
721,65,member
4867,66,casual
609,66,member
4765,67,casual
602,67,member
4455,68,casual
525,68,member
4403,69,casual
546,69,member
4232,70,casual
460,70,member
4148,71,casual
468,71,member
3948,72,casual
418,72,member
3914,73,casual
420,73,member
3738,74,casual
375,74,member
3798,75,casual
350,75,member
3585,76,casual
368,76,member
3451,77,casual
327,77,member
3265,78,casual
347,78,member
3308,79,casual
332,79,member
3197,80,casual
307,80,member
3003,81,casual
280,81,member
2951,82,casual
272,82,member
2871,83,casual
242,83,member
2785,84,casual
233,84,member
2812,85,casual
237,85,member
2667,86,casual
245,86,member
2624,87,casual
236,87,member
2538,88,casual
245,88,member
2320,89,casual
202,89,member
2336,90,casual
200,90,member
2353,91,casual
204,91,member
2279,92,casual
188,92,member
2173,93,casual
173,93,member
2171,94,casual
145,94,member
2084,95,casual
171,95,member
1982,96,casual
162,96,member
1865,97,casual
158,97,member
1890,98,casual
145,98,member
1911,99,casual
159,99,member
1811,100,casual
120,100,member
1749,101,casual
131,101,member
1653,102,casual
131,102,member
1613,103,casual
119,103,member
1607,104,casual
105,104,member
1550,105,casual
110,105,member
1513,106,casual
111,106,member
1554,107,casual
99,107,member
1511,108,casual
103,108,member
1397,109,casual
114,109,member
1365,110,casual
89,110,member
1325,111,casual
92,111,member
1283,112,casual
80,112,member
1362,113,casual
84,113,member
1303,114,casual
89,114,member
1197,115,casual
80,115,member
1261,116,casual
96,116,member
1137,117,casual
98,117,member
1071,118,casual
69,118,member
1095,119,casual
64,119,member
1030,120,casual
57,120,member