WEEK,IS_MEMBER,avg_duration,total_count
0,false,54.319968897,811
0,true,12.748254705,2489
1,false,24.138900034,5224
1,true,12.931456248,20435
2,false,23.301500219,5043
2,true,12.22138415,20996
3,false,24.578685543,3904
3,true,12.075179097,18619
4,false,20.559441538,2755
4,true,13.139091117,14664
5,false,122.139674854,1455
5,true,18.481484796,9516
6,false,42.4843922,1045
6,true,19.250389704,6717
7,false,117.131357661,722
7,true,38.790880282,3858
8,false,36.706489987,5828
8,true,15.949491668,16617
9,false,38.209874013,8661
9,true,12.664649558,23912
10,false,35.745362774,22441
10,true,14.283047155,37525
11,false,31.418293247,13883
11,true,12.204479925,24470
12,false,33.662386531,27425
12,true,13.87638209,38082
13,false,39.049747623,27823
13,true,13.995220564,38846
14,false,44.266256608,37008
14,true,14.992535161,46600
15,false,31.185185325,27700
15,true,14.083519015,45910
16,false,28.325913238,27530
16,true,13.592360972,44009
17,false,31.40276108,40667
17,true,14.279013333,52864
18,false,33.16609571,41038
18,true,14.00576171,52374
19,false,32.197488248,38522
19,true,13.402783105,53947
20,false,36.248094083,73114
20,true,14.588601868,72491
21,false,34.670650945,56394
21,true,13.765950441,63527
22,false,41.768877888,92930
22,true,15.335008996,78669
23,false,37.923561539,94588
23,true,14.721723453,86783
24,false,35.695473222,104408
24,true,14.769619536,91103
25,false,32.848894456,65688
25,true,13.757937044,71042
26,false,31.3241314,83769
26,true,14.179709575,79650
27,false,37.118381408,102759
27,true,14.65563202,79046
28,false,30.117863162,81748
28,true,13.235595708,79725
29,false,30.14653045,99630
29,true,14.001344239,88987
30,false,29.710678219,105682
30,true,14.063104393,89043
31,false,29.21303043,101438
31,true,14.118325985,87844
32,false,27.948642101,89876
32,true,13.887422787,84136
33,false,28.026964215,96921
33,true,14.216063414,90208
34,false,27.492289028,87688
34,true,13.467590107,86463
35,false,26.285976809,81362
35,true,13.345265919,87449
36,false,28.871868325,98797
36,true,14.248392171,89208
37,false,27.145851132,87922
37,true,13.635952793,93652
38,false,23.637595425,73550
38,true,13.067662661,84526
39,false,25.992756596,64601
39,true,13.183024044,92113
40,false,31.230805411,49636
40,true,14.501051341,69012
41,false,30.281501514,38462
41,true,14.654430166,58906
42,false,26.111062991,20211
42,true,12.622403234,43487
43,false,22.69802797,18201
43,true,12.64488488,42377
44,false,31.24260103,34092
44,true,13.607735094,54561
45,false,28.55430386,26028
45,true,12.826176475,47426
46,false,26.238137165,14032
46,true,12.248423283,36697
47,false,29.053506662,10132
47,true,13.560213574,22962
48,false,22.597980104,8606
48,true,12.218330041,27817
49,false,21.618297275,7515
49,true,12.229914896,26421
50,false,25.962545808,6928
50,true,12.045162682,24256
51,false,27.696967892,5774
51,true,12.587947455,17217
52,false,31.061553242,3288
52,true,13.000017157,10907