YEAR,QUARTER,MONTH,WEEKDAY,casual,member
2021,1,1,1,29.148777896,13.042832667
2021,1,1,2,20.307729703,12.916985602
2021,1,1,3,22.126949973,11.721064259
2021,1,1,4,25.588149587,13.14146165
2021,1,1,5,21.494377163,11.948226108
2021,1,1,6,22.892280072,11.999198075
2021,1,1,7,31.696985052,13.281731959
2021,1,2,1,43.960612691,21.193004851
2021,1,2,2,37.366024518,19.596384008
2021,1,2,3,49.760121457,17.271884471
2021,1,2,4,34.098642534,17.250654349
2021,1,2,5,20.659244918,15.322596965
2021,1,2,6,64.24109589,17.114845938
2021,1,2,7,61.589348079,19.223005798
2021,1,3,1,41.342100659,15.910888889
2021,1,3,2,44.20472973,13.850509274
2021,1,3,3,35.883761344,13.166788714
2021,1,3,4,28.565524308,12.602161537
2021,1,3,5,30.240768095,11.720560274
2021,1,3,6,28.968080965,12.417431193
2021,1,3,7,42.175275152,15.658742365
2021,2,4,1,42.266693435,16.556383065
2021,2,4,2,37.159133948,14.184091826
2021,2,4,3,39.586982484,14.208665434
2021,2,4,4,38.287022124,13.156546832
2021,2,4,5,24.764585549,12.94678124
2021,2,4,6,41.197782294,13.980811745
2021,2,4,7,36.554284465,16.300808975
2021,2,5,1,46.535493978,16.744728295
2021,2,5,2,37.729724154,14.237914576
2021,2,5,3,30.31952695,12.585794143
2021,2,5,4,31.054962367,13.414663678
2021,2,5,5,32.295316315,13.13956601
2021,2,5,6,34.538930332,13.7911441
2021,2,5,7,39.359355099,16.022087739
2021,2,6,1,42.283621896,16.542762184
2021,2,6,2,30.664254284,13.288303741
2021,2,6,3,33.370174734,13.964439602
2021,2,6,4,34.469008264,13.691103415
2021,2,6,5,34.937853661,13.848526656
2021,2,6,6,36.458931251,14.313899343
2021,2,6,7,41.542301502,15.936967147
2021,3,7,1,36.844299267,15.885094364
2021,3,7,2,36.691258264,13.900945875
2021,3,7,3,27.971353934,13.176655417
2021,3,7,4,28.494405259,13.037963402
2021,3,7,5,30.504433779,13.177411973
2021,3,7,6,30.643190371,13.627758503
2021,3,7,7,34.883415822,15.644877565
2021,3,8,1,32.655701369,15.901013489
2021,3,8,2,28.167164543,13.130873504
2021,3,8,3,25.527804523,12.675955909
2021,3,8,4,25.356476212,12.845438631
2021,3,8,5,26.223902786,13.086011325
2021,3,8,6,27.181438258,13.475564807
2021,3,8,7,30.553413557,15.993304677
2021,3,9,1,33.317755355,15.763843115
2021,3,9,2,29.574087013,13.438439306
2021,3,9,3,22.203919323,12.080907476
2021,3,9,4,23.227783521,12.645916768
2021,3,9,5,23.525335306,12.729145971
2021,3,9,6,26.011652456,13.480260004
2021,3,9,7,30.36675991,14.954400588
2020,4,10,1,33.523521347,14.526330947
2020,4,10,2,24.994791667,12.167024056
2020,4,10,3,29.275568588,13.271750605
2020,4,10,4,26.635224761,13.473335775
2020,4,10,5,24.163367368,12.874584092
2020,4,10,6,31.663653192,15.009124274
2020,4,10,7,34.157706846,14.895384076
2020,4,11,1,38.747161824,14.507610523
2020,4,11,2,27.311144214,12.193739843
2020,4,11,3,27.396349735,12.593768641
2020,4,11,4,24.741018507,12.535741192
2020,4,11,5,28.512870898,12.640259685
2020,4,11,6,30.15640599,13.434008065
2020,4,11,7,35.940500436,15.270496126
2020,4,12,1,40.941780146,13.950752041
2020,4,12,2,22.937142857,11.840705385
2020,4,12,3,21.093519695,11.658150923
2020,4,12,4,22.088138566,12.274792085
2020,4,12,5,23.773167061,12.671068573
2020,4,12,6,22.212703963,12.360369191
2020,4,12,7,29.298738659,12.621306994